fdate,doubleq,avgRET
31dec2000,15,-.21538036
31dec2000,16,-.06054841
31dec2000,17,.0093182893
31dec2000,18,.013852104
31dec2000,19,-.0084491856
31dec2000,20,.03721742
31dec2000,21,-.012581773
31dec2000,22,.038648915
31dec2000,23,.016990555
31dec2000,24,.073332161
31dec2000,25,-.058838941
31mar2001,1,.088347733
31mar2001,2,.15546924
31mar2001,3,.068939291
31mar2001,4,.075019866
31mar2001,5,.063419893
31mar2001,6,.12902531
31mar2001,7,.12252633
31mar2001,8,.047879856
31mar2001,9,.078733779
31mar2001,10,.12829612
31mar2001,11,.089472443
31mar2001,12,-.0068729823
31mar2001,13,.019387621
31mar2001,14,.071887814
31mar2001,15,.050169673
31mar2001,16,-.071940117
31mar2001,17,-.031846061
31mar2001,18,-.011902025
31mar2001,19,.02852405
31mar2001,20,.086630911
31mar2001,21,-.073533453
31mar2001,22,-.07477852
31mar2001,23,-.035671946
31mar2001,24,-.056998201
31mar2001,25,-.016198043
30jun2001,1,.22885606
30jun2001,2,.37943053
30jun2001,3,.171499
30jun2001,4,.12568991
30jun2001,5,.10371261
30jun2001,6,.24139115
30jun2001,7,.2250542
30jun2001,8,.10467042
30jun2001,9,.10734875
30jun2001,10,.11692534
30jun2001,11,.53589767
30jun2001,12,.28325438
30jun2001,13,.23565938
30jun2001,14,.20754729
30jun2001,15,.11065276
30jun2001,16,.41500923
30jun2001,17,.26360121
30jun2001,18,.16601481
30jun2001,19,.10884096
30jun2001,20,.058505546
30jun2001,21,.0858564
30jun2001,22,.052625511
30jun2001,23,.037075695
30jun2001,24,.060154308
30jun2001,25,.030297298
30sep2001,1,-.18142539
30sep2001,2,-.058856513
30sep2001,3,-.048409257
30sep2001,4,-.07540255
30sep2001,5,-.12539828
30sep2001,6,-.21748683
30sep2001,7,-.033117939
30sep2001,8,-.09282086
30sep2001,9,-.09731809
30sep2001,10,-.13928594
30sep2001,11,-.14730884
30sep2001,12,-.19581194
30sep2001,13,-.14492889
30sep2001,14,-.13607423
30sep2001,15,-.21550995
30sep2001,16,-.22552016
30sep2001,17,-.1980512
30sep2001,18,-.15821059
30sep2001,19,-.10875141
30sep2001,20,-.18362828
30sep2001,21,-.12551886
30sep2001,22,-.15299685
30sep2001,23,-.14357963
30sep2001,24,-.11394212
30sep2001,25,-.18374377
31dec2001,1,.26664835
31dec2001,2,.23613651
31dec2001,3,.25803116
31dec2001,4,.18620126
31dec2001,5,.086150542
31dec2001,6,.46725649
