date,mgrsizeq,avgRET
31/03/2009,10,-.028328246
30/06/2009,1,.31172612
30/06/2009,2,.3117362
30/06/2009,3,.31162494
30/06/2009,4,.31191188
30/06/2009,5,.3117739
30/06/2009,6,.31177354
30/06/2009,7,.31157812
30/06/2009,8,.31676388
30/06/2009,9,.31318903
30/06/2009,10,.31016329
30/09/2009,1,.17328317
30/09/2009,2,.17320006
30/09/2009,3,.17246944
30/09/2009,4,.17313156
30/09/2009,5,.17320961
30/09/2009,6,.17318532
30/09/2009,7,.17276345
30/09/2009,8,.17646383
30/09/2009,9,.17665523
30/09/2009,10,.17294532
31/12/2009,1,.090918012
31/12/2009,2,.09092702
31/12/2009,3,.09094958
31/12/2009,4,.091015302
31/12/2009,5,.090953089
31/12/2009,6,.090884991
31/12/2009,7,.091092534
31/12/2009,8,.087691486
31/12/2009,9,.096775547
31/12/2009,10,.09111093
31/03/2010,1,.053741891
31/03/2010,2,.053622372
31/03/2010,3,.053682748
31/03/2010,4,.053717446
31/03/2010,5,.053764507
31/03/2010,6,.053715173
31/03/2010,7,.053658169
31/03/2010,8,.053283967
31/03/2010,9,.05340784
31/03/2010,10,.054830194
30/06/2010,1,-.1040014
30/06/2010,2,-.10408438
30/06/2010,3,-.10410962
30/06/2010,4,-.10421146
30/06/2010,5,-.1040104
30/06/2010,6,-.10400058
30/06/2010,7,-.10399751
30/06/2010,8,-.10508859
30/06/2010,9,-.10404851
30/06/2010,10,-.10419141
30/09/2010,1,.14978242
30/09/2010,2,.15010248
30/09/2010,3,.15003274
30/09/2010,4,.14991347
30/09/2010,5,.14994414
30/09/2010,6,.14969623
30/09/2010,7,.14982346
30/09/2010,8,.15016717
30/09/2010,9,.15015218
30/09/2010,10,.15003535
31/12/2010,1,.10733831
31/12/2010,2,.10725365
31/12/2010,3,.1072176
31/12/2010,4,.10739003
31/12/2010,5,.10715827
31/12/2010,6,.10759605
31/12/2010,7,.10740746
31/12/2010,8,.10792739
31/12/2010,9,.10737335
31/12/2010,10,.10839108
31/03/2011,1,.061905749
31/03/2011,2,.061811801
31/03/2011,3,.06187034
31/03/2011,4,.061770517
31/03/2011,5,.061784349
31/03/2011,6,.06180644
31/03/2011,7,.061859019
31/03/2011,8,.06200676
31/03/2011,9,.06281016
31/03/2011,10,.061790824
30/06/2011,1,.011021205
30/06/2011,2,.011236981
30/06/2011,3,.011249219
30/06/2011,4,.011031311
30/06/2011,5,.011074665
30/06/2011,6,.011205911
30/06/2011,7,.010990254
30/06/2011,8,.011049667
30/06/2011,9,.011322952
30/06/2011,10,.011299733
30/09/2011,1,-.13985033
30/09/2011,2,-.13917281
30/09/2011,3,-.13918883
30/09/2011,4,-.13993759
30/09/2011,5,-.13998283
30/09/2011,6,-.1392426
30/09/2011,7,-.1398728
30/09/2011,8,-.13913646
30/09/2011,9,-.13916723
30/09/2011,10,-.13989431
31/12/2011,1,.11370494
31/12/2011,2,.11388831
31/12/2011,3,.11399707
31/12/2011,4,.11377809
31/12/2011,5,.11373429
31/12/2011,6,.11386739
31/12/2011,7,.11375764
31/12/2011,8,.11455294
31/12/2011,9,.11570747
31/12/2011,10,.11452859
31/03/2012,1,.13877916
31/03/2012,2,.13885421
31/03/2012,3,.13888037
31/03/2012,4,.13886225
31/03/2012,5,.13877387
31/03/2012,6,.13875346
31/03/2012,7,.13880438
31/03/2012,8,.13968208
31/03/2012,9,.13884994
31/03/2012,10,.13946898
30/06/2012,1,-.032555964
30/06/2012,2,-.032106631
30/06/2012,3,-.03213077
