fdate,mgrsizeq,doubleq,weights
31mar2000,6,17,.014802133
31mar2000,6,18,.015281524
31mar2000,6,19,.0085893301
31mar2000,6,20,.0037532495
31mar2000,6,21,.64721102
31mar2000,6,22,.17191128
31mar2000,6,23,.067278571
31mar2000,6,24,.034215719
31mar2000,6,25,.0069521293
31mar2000,7,1,.000020271335
31mar2000,7,2,.000023910889
31mar2000,7,3,.000015821519
31mar2000,7,4,.00014590425
31mar2000,7,5,.00027132683
31mar2000,7,6,.00070355169
31mar2000,7,7,.00021247778
31mar2000,7,8,.00025981464
31mar2000,7,9,.00071100268
31mar2000,7,10,.0012859836
31mar2000,7,11,.0028940812
31mar2000,7,12,.0013656626
31mar2000,7,13,.0033760918
31mar2000,7,14,.0019082185
31mar2000,7,15,.0030092872
31mar2000,7,16,.010037671
31mar2000,7,17,.013048669
31mar2000,7,18,.0100397
31mar2000,7,19,.0071634967
31mar2000,7,20,.0025265734
31mar2000,7,21,.70108855
31mar2000,7,22,.15188058
31mar2000,7,23,.057769891
31mar2000,7,24,.0260613
31mar2000,7,25,.0041801976
31mar2000,8,1,.000045866611
31mar2000,8,2,.000071475595
31mar2000,8,3,.000038906692
31mar2000,8,4,.000084626925
31mar2000,8,5,.00029056493
31mar2000,8,6,.00090235629
31mar2000,8,7,.00024311658
31mar2000,8,8,.00039337095
31mar2000,8,9,.00086823455
31mar2000,8,10,.0013706723
31mar2000,8,11,.0033007625
31mar2000,8,12,.0020646281
31mar2000,8,13,.0061028404
31mar2000,8,14,.002714227
31mar2000,8,15,.0032543058
31mar2000,8,16,.007872168
31mar2000,8,17,.01522585
31mar2000,8,18,.013670678
31mar2000,8,19,.0070321285
31mar2000,8,20,.0034711827
31mar2000,8,21,.64436162
31mar2000,8,22,.17976332
31mar2000,8,23,.07414557
31mar2000,8,24,.027750207
31mar2000,8,25,.0049613458
31mar2000,9,1,.000015371324
31mar2000,9,2,6.1292535e-06
31mar2000,9,3,.000013486575
31mar2000,9,4,.000040072286
31mar2000,9,5,.00017397139
31mar2000,9,6,.00052117789
31mar2000,9,7,.00010739093
31mar2000,9,8,.00017000228
31mar2000,9,9,.00047586148
31mar2000,9,10,.00081759301
31mar2000,9,11,.0025887445
31mar2000,9,12,.0013796971
31mar2000,9,13,.0023310068
31mar2000,9,14,.0018599946
31mar2000,9,15,.0022728974
31mar2000,9,16,.0059556277
31mar2000,9,17,.010458752
31mar2000,9,18,.009248008
31mar2000,9,19,.0074704983
31mar2000,9,20,.0033380555
31mar2000,9,21,.63983965
31mar2000,9,22,.20048906
31mar2000,9,23,.073456153
31mar2000,9,24,.029285697
31mar2000,9,25,.0076851267
31mar2000,10,1,.000025685615
31mar2000,10,2,.00001677719
