date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,char
1994-03-01,-0.058361449,-0.054176467,-0.034142785,-0.049147052,-0.040763268,-0.045362976,-0.043919056,-0.031412801,-0.044393573,-0.065345334,1
1994-04-01,-0.004387041,0.017498398,0.0009730782,0.0060342646,0.0185226015,0.0087754026,0.0212580697,0.0110706896,0.001130881,-0.010582484,1
1994-05-01,0.0020978265,0.0185515756,0.0055289753,-0.006645737,0.0080195598,0.0159450035,0.0079709439,0.0129194922,0.0151106462,-0.001277998,1
1994-06-01,-0.031963476,-0.037455628,-0.031121368,-0.021537577,-0.018174321,-0.028201785,-0.015809265,-0.03510112,-0.001875065,-0.049928609,1
1994-07-01,0.0149251673,0.0185110743,0.0328169505,0.0226101759,0.0174954028,0.038562657,0.0498040886,0.0332166275,0.0346627512,0.042328525,1
1994-08-01,0.0374164569,0.0410003067,0.040040209,0.0413098153,0.0410305574,0.0279955767,0.0521524949,0.0508645991,0.0492832645,0.0830730965,1
1994-09-01,-0.000700036,-0.017408821,-0.009817549,-0.012473485,-0.016203556,-0.03660008,-0.022906717,-0.030022341,-0.027198377,-0.009367582,1
1994-10-01,0.0138835004,-0.001427224,0.0140370091,0.0256560652,0.0112388876,0.0244319778,0.0339813353,0.0118646969,0.014268795,0.0180104841,1
1994-11-01,-0.036619208,-0.031334623,-0.023069673,-0.044358837,-0.028542207,-0.034498798,-0.04421244,-0.046069136,-0.062168417,-0.046189064,1
1994-12-01,-0.003177007,0.0167524481,-0.001344869,0.0210108541,0.0153298359,0.0232846692,0.0200071661,0.0121011735,0.018518066,0.0132154751,1
1995-01-01,-0.034154686,-0.01004062,0.0124569249,0.0161811814,0.0176236778,0.0319253521,0.0504336222,0.0336690046,0.0413447337,0.0237940811,1
1995-02-01,0.014821573,0.0272447777,0.0234531129,0.0360859753,0.0440906623,0.0655772339,0.0559050653,0.0520695007,0.0571182129,0.0489433265,1
1995-03-01,0.0413206222,0.0155399174,0.0200544148,0.0295634485,0.0418814056,0.0297120011,0.0265983829,0.0183983592,0.0083919395,0.0260773391,1
1995-04-01,0.0415813066,0.009601603,0.0417442475,0.0205007886,0.0167363567,0.015358906,0.0343812375,0.0237660862,0.0395879658,0.0092183961,1
1995-05-01,0.0265417757,0.0329537035,0.0328757375,0.0336512567,0.0441724946,0.0406241178,0.0276050101,0.029134088,0.037718273,0.0331199053,1
1995-06-01,0.0301730252,0.0331191328,0.0141988253,0.0308788411,0.0166279802,0.0305402965,0.0430877377,0.0523900127,0.0486303067,0.0715218781,1
1995-07-01,0.0890244095,0.0617109359,0.0390486767,0.0394749992,0.0384011224,0.0223615456,0.0399673399,0.032269447,0.0299699882,0.0518469996,1
1995-08-01,0.0074065162,0.0088341555,0.0117069239,0.0046386611,0.0085564346,0.0025827893,0.0080562126,0.0193112845,0.0186671683,0.0145704787,1
1995-09-01,0.0249416503,0.0583542399,0.037683338,0.047363631,0.0319811512,0.0469898965,0.0386936043,0.0552252435,0.0151656742,0.0098632165,1
1995-10-01,-0.006097356,0.0002610318,-0.002837342,0.0073327164,-0.023798735,-0.032218568,-0.024403301,0.0116541142,-0.025580467,-0.042323569,1
1995-11-01,0.0231790599,0.0410245016,0.0446337518,0.0492373993,0.0345716474,0.0645239399,0.0602343129,0.0544255575,0.0404755634,0.0510456371,1
1995-12-01,0.0035382492,0.0196986137,0.0042388936,0.0170060022,0.0278173707,0.0262576935,0.0404871237,0.0212020548,0.0104212569,-0.034275209,1
1996-01-01,0.0007730773,0.0069742351,0.0311247828,0.0173802719,0.0216265274,0.0317654856,0.031726437,0.0341321206,0.0436743061,0.0229100388,1
1996-02-01,0.0241359317,0.0103360859,0.007098797,-0.000259281,0.0255733325,0.0117935974,0.0195683028,0.0265419637,0.0347409451,0.0506706712,1
1996-03-01,0.0003629847,0.0026865619,0.0141865472,0.0260815984,0.011517107,0.0080736193,0.0214667444,0.018981904,-0.007730565,0.0108165404,1
1996-04-01,0.0704508502,0.0294954528,0.0099420889,0.0195221282,0.0122208424,0.0068502593,0.0135232664,0.0335881115,0.026650481,0.0648943593,1
